=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.11.28 18:52:08 =~=~=~=~=~=~=~=~=~=~=~=
t[s]	T[°C]	L[a.u.]	V1.1
26861	2.13	151
26967	2.13	150
30907	2.13	151
31016	2.06	150
34201	1.75	151
34315	1.75	150
37248	1.69	152
37365	1.69	149
40288	1.81	151
40408	1.81	150
43154	2.19	151
43277	2.19	150
45805	2.56	151
45920	2.56	148
48290	2.56	151
48404	2.56	149
50654	2.69	151
50770	2.69	148
53160	2.88	151
53286	2.88	148
55425	2.94	151
55549	2.94	150
57751	2.88	152
57866	2.88	149
59820	3.00	151
59943	3.00	149
62004	3.19	151
62127	3.19	149
64175	3.25	152
64296	3.25	148
983	3.25	151
1106	3.25	149
2900	3.00	151
3022	2.94	148
4641	2.69	151
4761	2.63	149
6456	2.56	151
6579	2.56	150
8128	2.56	152
8251	2.56	149
9755	2.75	151
9873	2.75	148
11361	3.00	152
11480	3.00	148
13017	3.00	151
13135	3.00	149
14724	3.06	151
14842	3.06	149
16462	3.31	152
16582	3.31	149
18305	3.63	151
18422	3.63	149
20125	3.88	153
20242	3.94	148
21934	4.06	151
22048	4.06	148
24033	4.50	151
24142	4.50	148
26811	4.94	153
26822	4.94	149
26823	4.94	246
26920	4.94	148
30065	5.19	151
30179	5.19	149
32953	5.19	152
33066	5.19	149
35413	4.00	152
35531	3.94	148
37169	3.19	151
37283	3.13	149
38858	2.81	152
38971	2.88	149
40588	3.25	151
40705	3.25	148
42438	3.50	152
42560	3.50	150
44305	3.50	151
44416	3.44	149
45921	3.44	152
46034	3.38	150
47560	3.19	151
47676	3.19	150
49318	3.13	151
49437	3.13	149
50901	3.06	152
51016	3.06	150
52502	3.13	151
52618	3.13	149
54264	3.06	151
54383	3.06	149
55951	2.94	152
56066	2.88	150
57572	2.75	151
57690	2.75	149
59066	2.69	152
59174	2.69	150
60619	2.63	152
60740	2.63	149
62106	2.63	151
62217	2.56	150
63620	2.50	151
63740	2.50	148
65169	2.38	152
65288	2.38	150
1121	2.06	151
1241	2.06	150
2494	2.06	151
2610	2.06	149
4009	2.06	151
4123	2.06	150
5430	1.94	152
5551	1.94	150
6902	1.94	151
7015	1.94	149
8302	1.94	151
8422	1.88	148
9670	1.81	152
9789	1.81	150
11088	1.69	151
11208	1.69	150
12465	1.50	152
12587	1.50	148
13694	1.50	151
13808	1.50	148
14983	1.50	151
15093	1.50	148
16352	1.63	151
0	0.00	0
